epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1217.88,1.46681,1.67901,1.62166,0.28367,0.37744,0.25925,0.17328,1.26154,2.04802,1.59494,0.000473964,0.000473964,0.000473964
2,2408.9,1.54912,1.82552,1.68131,0.27691,0.46568,0.26588,0.17236,1.29514,2.13703,1.62252,0.000924164,0.000924164,0.000924164
3,3588.85,1.5693,1.86944,1.68518,0.30807,0.48731,0.29966,0.20215,1.23001,2.26281,1.58698,0.00134817,0.00134817,0.00134817
4,4916.84,1.56617,1.84918,1.68324,0.32786,0.33211,0.25879,0.17447,1.22568,2.04004,1.58377,0.00131111,0.00131111,0.00131111
5,6614.65,1.54451,1.83887,1.65595,0.28225,0.50131,0.29388,0.2013,1.23805,2.07637,1.57017,0.00127181,0.00127181,0.00127181
6,8235.92,1.53632,1.80794,1.65141,0.24413,0.33291,0.24284,0.16329,1.28518,2.45434,1.5729,0.00123251,0.00123251,0.00123251
7,9588.52,1.53593,1.79951,1.65524,0.3437,0.39491,0.33102,0.22938,1.25448,1.97056,1.56998,0.00119322,0.00119322,0.00119322
8,14212,1.50622,1.77529,1.64883,0.33765,0.43324,0.32724,0.22992,1.21506,1.80853,1.55264,0.00115392,0.00115392,0.00115392
9,16280.4,1.50347,1.73999,1.62261,0.37687,0.41803,0.29294,0.19932,1.16499,2.10884,1.51509,0.00111462,0.00111462,0.00111462
10,17527.7,1.49447,1.72155,1.6115,0.31936,0.48476,0.32949,0.23474,1.18863,1.86535,1.51664,0.00107532,0.00107532,0.00107532
11,18922.4,1.48379,1.67218,1.60317,0.37103,0.45967,0.34805,0.24958,1.16325,1.75189,1.50317,0.00103602,0.00103602,0.00103602
12,22394.6,1.46044,1.69635,1.59544,0.32809,0.44018,0.31628,0.22717,1.15098,2.05369,1.48175,0.000996727,0.000996727,0.000996727
13,24333.5,1.45879,1.64885,1.59139,0.3362,0.45065,0.29458,0.21321,1.11122,1.89314,1.48014,0.00095743,0.00095743,0.00095743
14,26219.7,1.45989,1.65944,1.60458,0.32915,0.48409,0.33981,0.2464,1.0811,1.79799,1.45026,0.000918132,0.000918132,0.000918132
15,27871.6,1.4496,1.63048,1.58458,0.30106,0.51929,0.30324,0.22085,1.12864,2.20922,1.45745,0.000878835,0.000878835,0.000878835
16,29349.7,1.44516,1.59734,1.56387,0.36253,0.46348,0.32876,0.23649,1.11933,1.89485,1.4696,0.000839537,0.000839537,0.000839537
