epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1655.3,3.21937,3.69273,3.72512,0.35871,0.07973,0.02096,0.00688,2.45412,5.38642,3.04575,0.000473964,0.000473964,0.000473964
2,3281.99,2.37059,2.94537,2.65924,0.13344,0.28623,0.09704,0.05,1.88005,3.2459,2.33088,0.000940889,0.000940889,0.000940889
3,4475.24,2.04324,2.63305,2.2694,0.1018,0.41143,0.09675,0.05445,1.68349,4.48777,2.06783,0.00139838,0.00139838,0.00139838
